Day,Price,Action True,Action Final,Action,Inventory,Reward,Total Reward,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL,ALL,HOLD R,BUY R,SELL R
118,238.07000732421875,2,2,SELL,"[233.7100067138672, 234.14999389648438, 237.0399932861328]",2.6,23.200000000000003,10000,9318.010040283203,714.2100219726562,10032.22006225586,22.9100341796875,0.3222006225585937,33,44,41,118,0.2796610169491525,0.3728813559322034,0.3474576271186441
119,237.82000732421875,1,1,BUY,"[233.7100067138672, 234.14999389648438, 237.0399932861328, 237.82000732421875]",0.0,23.200000000000003,10000,9080.190032958984,951.280029296875,10031.47006225586,22.9100341796875,0.31470062255859377,33,45,41,119,0.2773109243697479,0.37815126050420167,0.3445378151260504
120,240.8800048828125,0,0,HOLD,"[233.7100067138672, 234.14999389648438, 237.0399932861328, 237.82000732421875]",0.0,23.200000000000003,10000,9080.190032958984,963.52001953125,10043.710052490234,22.9100341796875,0.4371005249023437,34,45,41,120,0.2833333333333333,0.375,0.3416666666666667
121,241.6199951171875,0,0,HOLD,"[233.7100067138672, 234.14999389648438, 237.0399932861328, 237.82000732421875]",0.0,23.200000000000003,10000,9080.190032958984,966.47998046875,10046.670013427734,22.9100341796875,0.46670013427734375,35,45,41,121,0.2892561983471074,0.371900826446281,0.33884297520661155
122,233.44000244140625,0,0,HOLD,"[233.7100067138672, 234.14999389648438, 237.0399932861328, 237.82000732421875]",0.0,23.200000000000003,10000,9080.190032958984,933.760009765625,10013.95004272461,22.9100341796875,0.13950042724609374,36,45,41,122,0.29508196721311475,0.36885245901639346,0.3360655737704918
123,234.47000122070312,0,0,HOLD,"[233.7100067138672, 234.14999389648438, 237.0399932861328, 237.82000732421875]",0.0,23.200000000000003,10000,9080.190032958984,937.8800048828125,10018.070037841797,22.9100341796875,0.18070037841796874,37,45,41,123,0.3008130081300813,0.36585365853658536,0.3333333333333333
124,232.74000549316406,0,0,HOLD,"[233.7100067138672, 234.14999389648438, 237.0399932861328, 237.82000732421875]",0.0,23.200000000000003,10000,9080.190032958984,930.9600219726562,10011.15005493164,22.9100341796875,0.11150054931640624,38,45,41,124,0.3064516129032258,0.3629032258064516,0.33064516129032256
125,232.1699981689453,2,2,SELL,"[234.14999389648438, 237.0399932861328, 237.82000732421875]",-1.0,22.200000000000003,10000,9312.36003112793,696.5099945068359,10008.870025634766,21.370025634765625,0.08870025634765626,38,45,42,125,0.304,0.36,0.336
126,239.19000244140625,0,0,HOLD,"[234.14999389648438, 237.0399932861328, 237.82000732421875]",0.0,22.200000000000003,10000,9312.36003112793,717.5700073242188,10029.930038452148,21.370025634765625,0.29930038452148433,39,45,42,126,0.30952380952380953,0.35714285714285715,0.3333333333333333
127,241.22000122070312,0,0,HOLD,"[234.14999389648438, 237.0399932861328, 237.82000732421875]",0.0,22.200000000000003,10000,9312.36003112793,723.6600036621094,10036.020034790039,21.370025634765625,0.3602003479003906,40,45,42,127,0.31496062992125984,0.3543307086614173,0.33070866141732286
128,240.14999389648438,2,2,SELL,"[237.0399932861328, 237.82000732421875]",1.2,23.400000000000002,10000,9552.510025024414,480.29998779296875,10032.810012817383,27.370025634765625,0.3281001281738281,40,45,43,128,0.3125,0.3515625,0.3359375
129,244.36000061035156,2,2,SELL,[237.82000732421875],1.5,24.900000000000002,10000,9796.870025634766,244.36000061035156,10041.230026245117,34.690032958984375,0.4123002624511719,40,45,44,129,0.31007751937984496,0.3488372093023256,0.34108527131782945
